service_id,date,exception_type
0e44d336-b962-4bec-b61a-b01b712a60a3,20240419,1
5c09c7e5-f6c2-4e00-aec9-9e8426302f61,20240420,1
3009e792-4186-4160-bacc-83ef9aba992e,20240421,1
0e44d336-b962-4bec-b61a-b01b712a60a3,20240422,1
0e44d336-b962-4bec-b61a-b01b712a60a3,20240423,1
0e44d336-b962-4bec-b61a-b01b712a60a3,20240424,1
0e44d336-b962-4bec-b61a-b01b712a60a3,20240425,1
0e44d336-b962-4bec-b61a-b01b712a60a3,20240426,1
5c09c7e5-f6c2-4e00-aec9-9e8426302f61,20240427,1
3009e792-4186-4160-bacc-83ef9aba992e,20240428,1
0e44d336-b962-4bec-b61a-b01b712a60a3,20240429,1
0e44d336-b962-4bec-b61a-b01b712a60a3,20240430,1
0e44d336-b962-4bec-b61a-b01b712a60a3,20240501,1
0e44d336-b962-4bec-b61a-b01b712a60a3,20240502,1
0e44d336-b962-4bec-b61a-b01b712a60a3,20240503,1
5c09c7e5-f6c2-4e00-aec9-9e8426302f61,20240504,1
3009e792-4186-4160-bacc-83ef9aba992e,20240505,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240506,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240507,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240508,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240509,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240510,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240511,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240512,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240513,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240514,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240515,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240516,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240517,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240518,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240519,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240520,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240521,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240522,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240523,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240524,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240525,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240526,1
5787e2b8-b7b9-4c2b-8b16-796745fe42cc,20240527,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240528,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240529,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240530,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240531,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240601,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240602,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240603,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240604,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240605,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240606,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240607,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240608,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240609,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240610,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240611,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240612,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240613,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240614,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240615,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240616,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240617,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240618,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240619,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240620,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240621,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240622,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240623,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240624,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240625,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240626,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240627,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240628,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240629,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240630,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240701,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240702,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240703,1
5787e2b8-b7b9-4c2b-8b16-796745fe42cc,20240704,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240705,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240706,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240707,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240708,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240709,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240710,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240711,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240712,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240713,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240714,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240715,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240716,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240717,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240718,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240719,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240720,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240721,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240722,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240723,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240724,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240725,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240726,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240727,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240728,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240729,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240730,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240731,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240801,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240802,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240803,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240804,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240805,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240806,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240807,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240808,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240809,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240810,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240811,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240812,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240813,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240814,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240815,1
b18b50c8-2cb0-416a-820d-f6d733c30b40,20240816,1
978ab689-a0b8-4f6c-bff0-e2ae5afdc6eb,20240817,1
59788e44-adc1-4f9b-9ea1-c47f9294de96,20240818,1
