route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
23,b18b50c8-2cb0-416a-820d-f6d733c30b40,c2b0b152-29b7-4242-96f1-db94e095358c,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2301
23,0e44d336-b962-4bec-b61a-b01b712a60a3,5c6f9e06-e231-4bd7-936f-df4513745e1a,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2301
23,b18b50c8-2cb0-416a-820d-f6d733c30b40,e10ef0af-b8a7-4c92-ae00-e2dd284b9aed,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2302
23,b18b50c8-2cb0-416a-820d-f6d733c30b40,01086f42-0e5e-491e-a20d-e62e6aabbe74,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2302
23,b18b50c8-2cb0-416a-820d-f6d733c30b40,13be20b5-97d9-4f6d-b74f-e7e22f5eed07,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2301
23,0e44d336-b962-4bec-b61a-b01b712a60a3,086c22ec-1f50-4c0a-9f09-e8fe3edb7202,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2303
23,0e44d336-b962-4bec-b61a-b01b712a60a3,379bf97d-d529-4092-a600-ea2d52f11f1c,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2301
23,b18b50c8-2cb0-416a-820d-f6d733c30b40,5d0bd1cf-aba4-4bb0-b470-eaa1aba1a7a9,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2302
23,5c09c7e5-f6c2-4e00-aec9-9e8426302f61,c1e5a595-dc73-44d6-b26b-eb09923b54e6,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2301
23,b18b50c8-2cb0-416a-820d-f6d733c30b40,11578a2d-543a-4cae-a4df-ee365b08d944,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2302
23,b18b50c8-2cb0-416a-820d-f6d733c30b40,499ee3c3-c490-428a-be2b-efc00de182c4,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2301
23,b18b50c8-2cb0-416a-820d-f6d733c30b40,773c9d01-7d24-46f5-a131-f84e8e7d56ba,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2301
23,0e44d336-b962-4bec-b61a-b01b712a60a3,e5b2cde7-58a7-4be9-a50e-fa67c60f9d6e,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2301
23,0e44d336-b962-4bec-b61a-b01b712a60a3,12d6a5f5-fab9-4725-b283-fae03c18a5ab,abd655a0-9040-4705-a6de-c29dbe686fe6,"Connector to Wabash Landing & Purdue",0,2301
24,0e44d336-b962-4bec-b61a-b01b712a60a3,68e80324-923b-4c02-a66c-10b235f5c3f2,812b76e4-4bba-48e3-a43e-50efc90103db,"Express from Campus to Redpoint Apts",0,2401
24,0e44d336-b962-4bec-b61a-b01b712a60a3,1a2379ad-95a6-47d3-9184-152ca7436de3,812b76e4-4bba-48e3-a43e-50efc90103db,"Express from Campus to Redpoint Apts",0,2401
24,0e44d336-b962-4bec-b61a-b01b712a60a3,f62cb0e7-a4e2-43ac-aa31-16a33fdb86bd,812b76e4-4bba-48e3-a43e-50efc90103db,"Express from Campus to Redpoint Apts",0,2401
24,0e44d336-b962-4bec-b61a-b01b712a60a3,cb29089c-869c-49eb-9ccc-1ed9d71867af,812b76e4-4bba-48e3-a43e-50efc90103db,"Express from Campus to Redpoint Apts",0,2401
24,0e44d336-b962-4bec-b61a-b01b712a60a3,29e6ea9d-b291-4cc5-a8fe-27977df5732a,812b76e4-4bba-48e3-a43e-50efc90103db,"Express from Campus to Redpoint Apts",0,2401
24,0e44d336-b962-4bec-b61a-b01b712a60a3,72d3698e-4b27-494d-8547-28afda7e6bc5,812b76e4-4bba-48e3-a43e-50efc90103db,"Express from Campus to Redpoint Apts",0,2401
