Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,379,0,92,107.86733430310208,58.12704097479582,522.123750008177,131.48284960422163,2.533947376901331,0.0,92,120,130,140,150,170,220,350,520,520,520
GET,large_scan,733,0,4900,4991.867535211569,3878.7038329755887,7258.865958021488,652261.1718963165,4.900747829204949,0.0,4900,5100,5200,5300,5400,5500,5800,6100,7300,7300,7300
GET,next_departures,3100,0,95,112.87517913005074,53.153500019107014,1666.0985419875942,109.45064516129032,20.72621865011643,0.0,95,120,130,140,160,180,220,300,1600,1700,1700
GET,point_read,3902,0,92,110.38997397559189,53.063334024045616,1747.9571250150912,104.43593029215786,26.088291991211065,0.0,92,120,130,140,160,170,220,280,1600,1700,1700
GET,trips_per_route,393,0,3800,3868.2821852031507,3159.4391660182737,5691.277333011385,1200.351145038168,2.6275496546760504,0.0,3800,4000,4100,4200,4300,4300,4400,4500,5700,5700,5700
,Aggregated,8507,0,100,705.3967621431407,53.063334024045616,7258.865958021488,56350.74820735864,56.87675550210982,0.0,100,130,150,160,4100,4900,5300,5400,6000,7300,7300
