Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,178,123,190,195.28258551161323,91.06408298248425,365.75658299261704,137.08988764044943,1.1902553414152408,0.822479814573453,190,210,210,230,290,320,340,370,370,370,370
GET,large_scan,386,386,190,205.14171092889822,82.96270901337266,2681.880666001234,141.11658031088083,2.5811155156532752,2.5811155156532752,190,210,230,250,290,320,340,380,2700,2700,2700
GET,next_departures,1518,1518,200,213.3242701804842,87.17870898544788,3266.949957993347,158.399209486166,10.150604540833347,10.150604540833347,200,210,230,250,290,330,400,450,2900,3300,3300
GET,point_read,1823,0,110,158.88464159417916,83.86937499744818,5238.547250017291,81.20954470652771,12.19008700786508,0.0,110,150,180,200,260,300,330,360,3000,5200,5200
GET,trips_per_route,158,104,200,207.45861417793705,93.58670801157132,396.0068750020582,128.20253164556962,1.0565187862000454,0.6954300871190172,200,220,250,270,310,350,390,390,400,400,400
,Aggregated,4063,2131,190,187.10224106322903,82.96270901337266,5238.547250017291,120.01575190745754,27.16858119196699,14.249629958179092,190,200,210,230,280,320,350,410,2900,5200,5200
