Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,530,190,1100,2722.62320519839,63.93808301072568,22226.688583992654,342.8320754716981,3.533782429866731,1.26682766353713,1100,5100,5200,5200,5400,5900,15000,15000,22000,22000,22000
GET,large_scan,919,432,47000,31352.58918144114,5064.4604160042945,65710.56825001142,324931.83025027206,6.127445383108539,2.8803660560423165,47000,52000,54000,56000,57000,59000,61000,62000,66000,66000,66000
GET,next_departures,4597,1693,910,2778.063801712843,60.56795798940584,24478.989583003568,340.99869480095714,30.65056194357993,11.28810123351769,910,5100,5200,5200,5400,6300,15000,15000,24000,24000,24000
GET,point_read,5613,2054,890,2748.9547251240224,58.06004200712778,24667.07666599541,336.18635310885446,37.424756186494264,13.695073794238237,890,5100,5200,5200,5500,6200,15000,15000,23000,25000,25000
GET,trips_per_route,526,184,5100,5385.190451213104,1406.8350839952473,26091.477874986595,1040.4524714828897,3.5071123737922654,1.226822579425431,5100,5200,5400,5700,9200,13000,19000,21000,26000,26000,26000
,Aggregated,12185,4553,1500,5029.895125353525,58.06004200712778,65710.56825001142,24849.89052113254,81.24365831684173,30.357191326760805,1500,5200,5200,5300,6000,15000,54000,57000,62000,63000,66000
