Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,865,0,50,51.5568338482603,37.59204101515934,179.68908400507644,127.32601156069364,5.792017486764489,0.0,50,54,56,57,62,66,70,75,180,180,180
GET,large_scan,1651,0,770,780.9102439702095,586.0299589985516,1228.87812499539,332492.285887341,11.055053029651065,0.0,770,790,810,820,880,970,1000,1000,1200,1200,1200
GET,next_departures,6578,0,48,49.53891797263579,34.683542005950585,802.4964579963125,105.44238370325327,44.046116795302666,0.0,48,51,53,54,59,63,70,78,180,800,800
GET,point_read,8451,0,47,49.44934163569068,33.75324999797158,985.7553750043735,100.48810791622293,56.587676046990396,0.0,47,51,53,54,58,63,70,78,260,990,990
GET,trips_per_route,825,0,49,52.87164015935339,36.09170799609274,841.2672919803299,391.3381818181818,5.524178527838963,0.0,49,53,55,57,63,69,78,120,840,840,840
,Aggregated,18370,0,49,115.47424963485297,33.75324999797158,1228.87812499539,29990.232988568318,123.00504188654757,0.0,49,52,55,58,77,760,820,870,1000,1200,1200
