Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,1220,0,89,100.51313732415781,55.36091700196266,1419.8510409914888,131.4877049180328,8.152254613438403,0.0,89,95,99,100,110,130,230,510,1100,1400,1400
GET,large_scan,2489,0,4900,5032.313426783708,3903.2209999859333,17745.06275000749,652261.1944556047,16.631935846596875,0.0,4900,5200,5300,5300,5400,5600,6000,6400,8200,18000,18000
GET,next_departures,10303,2,90,117.3295420472426,53.600542014464736,81262.0367500349,109.44307483257303,68.84645842807859,0.01336435182530886,90,96,100,100,120,140,230,390,1400,76000,81000
GET,point_read,12835,1,89,103.88921656288743,51.9871250144206,65521.40283299377,104.48134008570315,85.7657278389196,0.00668217591265443,89,94,98,100,110,140,230,350,1200,2000,66000
GET,trips_per_route,1186,0,3700,3846.572259319208,3164.668125042226,5189.22083301004,1200.327150084317,7.925060632408154,0.0,3700,3900,4100,4100,4200,4300,4400,4500,5200,5200,5200
,Aggregated,28033,3,92,704.6107520654267,51.9871250144206,81262.0367500349,58057.67224342739,187.32143735944163,0.02004652773796329,92,100,110,120,4100,4900,5300,5400,6400,66000,81000
