Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,8188,8117,250,314.28603806073676,101.0096250101924,3439.3417090177536,149.63873961895456,54.913306459952686,54.43714075909086,250,300,350,380,490,630,910,1300,1800,3400,3400
GET,large_scan,16069,16069,240,312.69163908701057,92.41279098205268,2835.1025840092916,149.76308419939014,107.7676992556155,107.7676992556155,240,300,340,370,490,620,910,1300,1800,2800,2800
GET,next_departures,64889,64889,250,314.08008433243725,91.04525001021102,3110.524791991338,150.18300482362187,435.18191779187464,435.18191779187464,250,300,350,370,490,640,910,1300,1800,2800,3100
GET,point_read,81070,66433,230,299.0156975081943,84.5941660227254,3190.1669159997255,137.58033797952388,543.7007516742018,445.5368451458276,230,290,330,360,480,620,890,1200,1800,2600,3200
GET,trips_per_route,8077,8018,250,311.4156147396011,97.14083300787024,2711.9967080070637,149.53398539061533,54.16887839240814,53.773191401551124,250,300,340,370,490,610,890,1200,1700,2700,2700
,Aggregated,178293,163526,240,306.99390967462466,84.5941660227254,3439.3417090177536,144.36031700627618,1195.7325535740526,1096.6967943539598,240,300,340,370,490,630,900,1300,1800,2800,3400
