Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,1589,1243,360,917.4530462170032,188.73920902842656,5053.347874985775,235.09880427942102,10.624416186673656,8.310981321608153,360,430,520,2400,3000,3300,3600,3800,4500,5100,5100
GET,large_scan,3176,2478,360,1005.283509840386,185.36304199369624,6326.389541995013,73279.24559193954,21.235459917479883,16.56847281974658,360,440,550,2200,3500,3900,4300,4600,5300,6300,6300
GET,next_departures,12896,9979,370,929.4470153960733,181.45229102810845,5544.605458009755,228.62135545905707,86.22559543319286,66.72186855054525,370,440,550,2000,3100,3400,3800,4000,4900,5500,5500
GET,point_read,16274,12535,320,310.42468379233,114.55675002071075,2716.390333021991,226.76410224898612,108.81167339328324,83.81186714912164,320,350,370,390,450,500,580,680,1700,2400,2700
GET,trips_per_route,1613,1240,360,403.29772064236977,190.9361669968348,1954.6974579861853,293.8915065096094,10.784885657082825,8.290922637807007,360,420,470,500,620,720,850,970,1500,2000,2000
,Aggregated,35548,27475,340,628.4216427273589,114.55675002071075,6326.389541995013,6757.656211319905,237.6820305877125,183.70411247882865,340,380,430,470,2100,3100,3600,3900,4700,5500,6300
