Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,2074,2051,62,1721.7192007820072,36.118916992563754,122262.8324580146,86.77579556412729,13.856082665272211,13.702423117875266,62,130,180,210,280,320,1100,79000,122000,122000,122000
GET,large_scan,4324,4270,62,1793.2845520426833,38.32729099667631,122472.34800001024,4237.598057354302,28.88799491062538,28.527229016736904,62,120,180,210,280,330,2600,80000,122000,122000,122000
GET,next_departures,16986,16804,62,2047.6579464753931,36.8972500145901,122315.53862500004,86.44118685976687,113.4809161775862,112.26500149818429,62,120,180,210,280,330,2500,101000,122000,122000,122000
GET,point_read,21379,20887,63,1181.3585985691163,38.81091601215303,122470.24495797814,86.34253239159924,142.8298897304024,139.54291158608518,63,130,190,210,290,340,1200,20000,122000,122000,122000
GET,trips_per_route,2121,2082,61,1449.3027778106296,38.58312498778105,122238.99441599497,91.83828382838284,14.170082609952921,13.9095294643668,61,120,190,210,290,350,24000,39000,122000,122000,122000
,Aggregated,46884,46094,62,1587.6794338117709,36.118916992563754,122472.34800001024,469.5065054176265,313.2249660938391,307.94709468324845,62,120,190,210,280,330,2200,91000,122000,122000,122000
