Method,Name,Error,Occurrences
GET,point_read,HTTPError('429 Client Error: Too Many Requests for url: point_read'),585
GET,trips_per_route,HTTPError('429 Client Error: Too Many Requests for url: trips_per_route'),52
GET,bulk_update_departures,HTTPError('429 Client Error: Too Many Requests for url: bulk_update_departures'),72
GET,large_scan,HTTPError('500 Server Error: Internal Server Error for url: large_scan'),1271
GET,next_departures,HTTPError('429 Client Error: Too Many Requests for url: next_departures'),448
GET,large_scan,HTTPError('429 Client Error: Too Many Requests for url: large_scan'),134
