Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,2684,2621,210,242.41795823666232,87.89166700444184,2184.430583991343,149.0182563338301,18.069016088681416,17.644892387643065,210,240,270,280,330,390,460,530,1200,2200,2200
GET,large_scan,5353,5353,210,244.12594584230294,88.68329098913819,2355.605499993544,149.3493368204745,36.03705034378227,36.03705034378227,210,240,270,290,340,380,470,530,1100,2400,2400
GET,next_departures,21344,21344,210,244.0683713300856,86.66279099998064,2443.5532499919645,150.5774456521739,143.6904170628972,143.6904170628972,210,240,270,290,340,380,460,520,1500,2400,2400
GET,point_read,26334,11743,190,198.81119627493894,83.00441701430827,2504.397249984322,111.88137009189641,177.28370703402993,79.05531144910054,190,210,230,250,310,350,420,490,1600,2400,2500
GET,trips_per_route,2637,2575,210,247.91641629609467,90.12458301731385,2381.183791992953,148.49905195297686,17.75260634346233,17.335214764662684,210,250,270,290,340,390,470,540,2000,2400,2400
,Aggregated,58352,43636,200,223.747274097677,83.00441701430827,2504.397249984322,132.8357725527831,392.8327968728532,293.7628860080858,200,230,250,280,330,370,450,510,1600,2400,2500
