Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,427,5,300,599.9086350979571,55.58612497407012,24185.534749994986,116.53161592505855,2.8676667028395193,0.0335792353962473,300,380,460,560,830,1200,5200,8500,24000,24000,24000
GET,large_scan,628,9,37000,35835.36690780329,5271.973708004225,67715.17833400867,603706.3678343949,4.217551965768661,0.06044262371324514,37000,38000,39000,39000,42000,43000,45000,50000,68000,68000,68000
GET,next_departures,3231,45,290,666.7933644329751,55.77266702312045,24297.579250007402,96.51655834107088,21.698901913055003,0.3022131185662257,290,370,450,520,860,1300,7500,10000,22000,24000,24000
GET,point_read,4010,63,280,701.5815479946746,57.25770798744634,24356.25208300189,92.83391521197008,26.930546787790334,0.42309836599271594,280,370,450,520,870,1300,7400,11000,23000,24000,24000
GET,trips_per_route,421,7,2300,2781.997324997073,95.39404200040735,22793.457916995976,1170.9762470308788,2.8273716203640222,0.047010929554746214,2300,2600,3000,3300,4900,7000,10000,13000,23000,23000,23000
,Aggregated,8717,129,320,3315.3313808710186,55.58612497407012,67715.17833400867,43633.64093151314,58.542038989817534,0.8663442732231803,320,450,660,900,5300,36000,38000,41000,46000,68000,68000
