Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,26,0,15000,13615.310902234902,4160.388958000112,18958.692083018832,109.65384615384616,0.14494470164432313,0.0,15000,17000,17000,17000,17000,18000,19000,19000,19000,19000,19000
GET,large_scan,67,0,16000,14996.335098866126,1922.8866250196006,25614.769750012783,190081.97014925373,0.3735113465449866,0.0,16000,20000,22000,22000,24000,25000,26000,26000,26000,26000,26000
GET,next_departures,285,0,16000,14230.297011385172,1041.1916250013746,26139.72304199706,1233.5228070175438,1.5888169218704653,0.0,16000,19000,20000,20000,21000,22000,25000,25000,26000,26000,26000
GET,point_read,379,0,130,354.1582753653896,50.833958986913785,5750.043165986426,135.23746701846966,2.112847766276864,0.0,130,180,210,240,310,680,4800,5200,5800,5800,5800
GET,trips_per_route,47,0,550,578.0185265955763,122.82487502670847,1157.8456250135787,767.2765957446809,0.2620154222031995,0.0,550,650,710,760,990,1000,1200,1200,1200,1200,1200
,Aggregated,804,0,900,6935.049801542758,50.833958986913785,26139.72304199706,16389.569651741294,4.482136158539839,0.0,910,8800,15000,17000,20000,22000,23000,25000,26000,26000,26000
