Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,3580,3270,350,592.199409233719,186.06083298800513,5720.02108299057,243.418156424581,23.920803913675595,21.849449384837765,350,420,470,510,780,2900,3500,3800,5100,5700,5700
GET,large_scan,7281,6642,350,638.0491716550634,187.29862498003058,6098.608041997068,29411.992034061255,48.65010427247822,44.3804412275512,350,420,480,510,780,3400,4100,4400,5200,6100,6100
GET,next_departures,28878,26204,350,611.2883535472099,184.2188750160858,7377.732124994509,240.0546436733846,192.956697044448,175.08959378602103,350,420,480,520,830,3100,3700,4000,5000,5700,7400
GET,point_read,36076,32708,320,346.4008464114864,114.80412498349324,3325.4260000248905,239.60583213216543,241.0522128463019,218.54794815879927,320,370,420,450,530,620,710,800,2000,2500,3300
GET,trips_per_route,3563,3240,350,383.5437075660635,184.28966699866578,2771.8352079973556,266.27504911591353,23.80721350402965,21.648995720756684,350,410,460,490,600,700,850,940,1900,2800,2800
,Aggregated,79378,72064,330,482.2723946535887,114.80412498349324,7377.732124994509,2916.9947214593462,530.3870315809334,481.516428277966,330,400,450,480,610,930,3300,3800,4800,5600,7400
