Method,Name,Error,Occurrences
GET,trips_per_route,HTTPError('429 Client Error: Too Many Requests for url: trips_per_route'),1174
GET,trips_per_route,HTTPError('500 Server Error: Internal Server Error for url: trips_per_route'),56964
