Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,bulk_update_departures,43,0,17000,16111.554524162784,5854.916624986799,22995.304165990092,107.51162790697674,0.2874432925674344,0.0,17000,18000,19000,19000,20000,20000,23000,23000,23000,23000,23000
GET,large_scan,76,0,17000,15081.941887103312,2154.7012079972774,25843.451583990827,332472.9868421053,0.508039307793605,0.0,17000,19000,19000,20000,22000,24000,25000,26000,26000,26000,26000
GET,next_departures,352,0,20000,17870.4212269088,1812.4043749994598,29145.854457980022,85.60795454545455,2.353024162412486,0.0,20000,22000,22000,23000,25000,27000,27000,27000,29000,29000,29000
GET,point_read,378,0,120,339.2868162356545,50.670749973505735,5719.884791993536,81.33597883597884,2.526827083499772,0.0,120,180,230,260,320,480,5200,5600,5700,5700,5700
GET,trips_per_route,47,0,6800,6447.600648957651,1983.5966250102501,12251.540458004456,372.0,0.3141822035039399,0.0,6800,7300,7500,7500,8300,9000,12000,12000,12000,12000,12000
,Aggregated,896,0,7400,9554.353065701824,50.670749973505735,29145.854457980022,28293.452008928572,5.9895160497772375,0.0,7400,16000,19000,20000,23000,24000,27000,27000,29000,29000,29000
